TreeID,Pot_weight_g,Perc_brown
PSME1,253.2,10%
PSME2,257.4,10%
PSME3,523.2,10%
PSME4,278.2,10%
PSME5,349.4,10%
PSME6,296.4,10%
PSME7,232.6,10%
PSME8,237.6,10%
PSME9,244.6,10%
PSME10,220.7,10%
PSME11,231.2,10%
PSME12,491.6,10%
PSME13,316,10%
PSME14,272.6,10%
PSME15,228.7,10%
PSME16,247.1,10%
PSME17,487.6,10%
PSME18,295.9,10%
PSME19,280.8,10%
PSME20,240.2,10%
PSME21,235.5,10%
PSME22,564.9,10%
PSME23,286.7,10%
PSME24,297.1,10%
PSME25,251.8,10%
PSME26,224.8,10%
PSME27,497.7,10%
PSME28,222.3,10%
PSME29,260.4,10%
PSME30,229.2,10%
PSME31,394.2,10%
PSME32,238.5,10%
PSME33,261.8,10%
PSME34,206.3,10%
PSME35,267.5,10%
PSME36,240.6,10%
PSME37,487.4,10%
PSME38,237,10%
PSME39,226.4,10%
PSME40,222.6,10%
PSME41,220.1,10%
PSME42,237.3,10%
PSME43,229.5,10%
PSME44,220.2,10%
PSME45,453.5,10%
PSME46,274.8,10%
PSME47,216.7,10%
PSME48,496.1,10%
PSME49,220.8,10%
PSME50,219,10%
PSME51,251.4,10%
PSME52,295.6,10%
PSME53,238.1,10%
PSME54,218.8,10%
PSME55,217.7,10%
PSME56,221.7,10%
PSME57,487.4,10%
PSME58,224.6,10%
PSME59,223.1,10%
PSME60,255,10%
