TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PSME1,221.6,10%,
PSME2,224.3,10%,
PSME3,535,10%,3.795
PSME4,238.1,10%,
PSME5,289.2,10%,
PSME6,234.9,10%,3.299
PSME7,214.1,10%,
PSME8,216.5,10%,
PSME9,219.3,10%,
PSME10,205.6,10%,
PSME11,212.5,10%,
PSME12,518.5,10%,4.839
PSME13,249.5,10%,
PSME14,224.3,10%,
PSME15,213.2,10%,4.469
PSME16,219.5,10%,
PSME17,517.5,10%,4.872
PSME18,229.9,10%,
PSME19,237,10%,
PSME20,216.8,10%,3.658
PSME21,207.6,10%,
PSME22,549.6,10%,2.679
PSME23,219.2,10%,
PSME24,225.8,10%,
PSME25,208.5,10%,
PSME26,209.6,10%,4.239
PSME27,506.7,10%,4.924
PSME28,204,10%,
PSME29,219,10%,
PSME30,205.1,10%,3.158
PSME31,409.3,10%,4.758
PSME32,202.6,10%,
PSME33,221.3,10%,
PSME34,243.4,10%,
PSME35,228.1,10%,3.804
PSME36,215.9,10%,
PSME37,477.6,10%,3.994
PSME38,212.9,10%,
PSME39,203.2,10%,
PSME40,207.3,10%,
PSME41,205.1,10%,
PSME42,215.4,10%,4.491
PSME43,213.4,10%,
PSME44,209.4,10%,
PSME45,506.9,10%,3.928
PSME46,231.3,10%,3.397
PSME47,207.7,10%,
PSME48,517.2,10%,4.131
PSME49,202.8,10%,
PSME50,208.8,10%,3.716
PSME51,219.2,10%,
PSME52,253,10%,
PSME53,207.2,10%,
PSME54,208.4,10%,
PSME55,205.9,10%,
PSME56,204.3,10%,
PSME57,494.8,10%,4.314
PSME58,210.1,10%,3.259
PSME59,211.4,10%,
PSME60,213.3,10%,
