TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PSME1,358.1,10%,3.562
PSME2,405.6,10%,3.785
PSME3,489.6,10%,3.617
PSME4,377.3,10%,4.08
PSME5,440.2,10%,2.04
PSME6,420.1,10%,3.256
PSME7,372.5,10%,4.02
PSME8,370.8,10%,4.316
PSME9,388.6,10%,4.106
PSME10,285.7,10%,4.398
PSME11,349.6,10%,3.713
PSME12,423.7,10%,4.65
PSME13,440.3,10%,4.065
PSME14,409.8,10%,4.354
PSME15,314.8,10%,4.131
PSME16,370.8,10%,4.272
PSME17,454.3,10%,4.38
PSME18,432.5,10%,3.092
PSME19,418.6,10%,3.778
PSME20,349.6,10%,4.186
PSME21,345.1,10%,4.923
PSME22,521.3,10%,4.36
PSME23,401.3,10%,4.302
PSME24,415.1,10%,3.821
PSME25,358.5,10%,3.661
PSME26,268.6,10%,4.517
PSME27,485.1,10%,4.409
PSME28,329.3,10%,4.233
PSME29,390.2,10%,3.577
PSME30,329,10%,4.109
PSME31,413,10%,5.015
PSME32,394.2,10%,4.387
PSME33,415.1,10%,3.547
PSME34,430.7,10%,3.321
PSME35,371.2,10%,3.996
PSME36,357,10%,4.068
PSME37,467.3,10%,4.046
PSME38,376.7,10%,4.02
PSME39,380.2,10%,4.51
PSME40,308.2,10%,5.03
PSME41,324,10%,4.975
PSME42,368.7,10%,4.811
PSME43,319.8,10%,5.797
PSME44,301.2,10%,4.919
PSME45,490.7,10%,4.832
PSME46,407,10%,4.703
PSME47,270.7,10%,4.79
PSME48,500,10%,4.287
PSME49,358.9,10%,4.939
PSME50,281.9,10%,4.866
PSME51,397.8,10%,3.208
PSME52,441.8,10%,4.484
PSME53,404.7,10%,3.71
PSME54,335.8,10%,4.726
PSME55,307.6,10%,5.05
PSME56,355.4,10%,4.074
PSME57,480,10%,4.085
PSME58,388.5,10%,4.246
PSME59,337.5,10%,5.511
PSME60,410.3,10%,3.861
