TreeID,Pot_weight_g,Perc_brown
PIEN1,564.1,10%
PIEN2,252.6,10%
PIEN3,276.4,10%
PIEN4,296.1,10%
PIEN5,247.6,10%
PIEN6,355.7,10%
PIEN7,260.8,10%
PIEN8,391.3,10%
PIEN9,581.4,10%
PIEN10,245.9,10%
PIEN11,237.2,10%
PIEN12,348.2,10%
PIEN13,243.7,10%
PIEN14,306,10%
PIEN15,305.3,10%
PIEN16,350.6,10%
PIEN17,345.5,10%
PIEN18,559.4,10%
PIEN19,459.5,10%
PIEN20,259.6,10%
PIEN21,297.5,10%
PIEN22,236,10%
PIEN23,317.1,10%
PIEN24,566.1,10%
PIEN25,246.9,10%
PIEN26,287.2,10%
PIEN27,529.8,10%
PIEN28,222,10%
PIEN29,456.1,10%
PIEN30,235.8,10%
PIEN31,540.1,10%
PIEN32,337.1,10%
PIEN33,264.7,10%
PIEN34,512.5,10%
PIEN35,242.3,10%
PIEN36,221.8,10%
PIEN37,294.6,10%
PIEN38,492.1,10%
PIEN39,300.5,10%
PIEN40,228.8,10%
PIEN41,223.4,10%
PIEN42,494.1,10%
PIEN43,220.8,10%
PIEN44,219.4,10%
PIEN45,229.3,10%
PIEN46,509.2,10%
PIEN47,254.1,10%
PIEN48,228.9,10%
PIEN49,230.3,10%
PIEN50,264.2,10%
PIEN51,229.4,10%
PIEN52,303,10%
PIEN53,226.8,10%
PIEN54,221.2,10%
PIEN55,217.3,10%
PIEN56,261.4,10%
PIEN57,231.5,10%
PIEN58,253.3,10%
PIEN59,231.8,10%
PIEN60,241.2,10%
