TreeID,Pot_weight_g,Perc_brown
PIEN1,559.4,10%
PIEN2,207,10%
PIEN3,204.1,10%
PIEN4,195.4,10%
PIEN5,203.4,10%
PIEN6,206,10%
PIEN7,210.5,10%
PIEN8,220.1,10%
PIEN9,598.5,10%
PIEN10,201.4,10%
PIEN11,201,10%
PIEN12,212.7,10%
PIEN13,209.4,10%
PIEN14,208.8,10%
PIEN15,208.4,10%
PIEN16,217.2,10%
PIEN17,218.3,10%
PIEN18,584.3,10%
PIEN19,308.1,10%
PIEN20,208.5,10%
PIEN21,198.4,10%
PIEN22,196.4,10%
PIEN23,200.8,10%
PIEN24,523.5,10%
PIEN25,194.5,10%
PIEN26,193.4,10%
PIEN27,500,10%
PIEN28,197.4,10%
PIEN29,275.3,10%
PIEN30,196.8,10%
PIEN31,556.7,10%
PIEN32,209.9,10%
PIEN33,202.5,10%
PIEN34,547.3,10%
PIEN35,200.7,10%
PIEN36,190.8,10%
PIEN37,194.6,10%
PIEN38,497.4,10%
PIEN39,199.4,10%
PIEN40,,10%
PIEN41,191.2,10%
PIEN42,517.5,10%
PIEN43,184.1,25%
PIEN44,191.6,50%
PIEN45,202.1,50%
PIEN46,519.2,10%
PIEN47,190.1,10%
PIEN48,188.4,10%
PIEN49,192.1,25%
PIEN50,191.8,10%
PIEN51,189.9,10%
PIEN52,200.4,10%
PIEN53,192.9,50%
PIEN54,187.2,10%
PIEN55,184.3,10%
PIEN56,200.9,10%
PIEN57,191.3,10%
PIEN58,198.4,10%
PIEN59,189.7,10%
PIEN60,190.6,10%
