TreeID,Pot_weight_g,Perc_brown
PIEN1,558.3,10%
PIEN2,205.1,25%
PIEN3,202.7,10%
PIEN4,194.2,10%
PIEN5,202.2,10%
PIEN6,203.9,25%
PIEN7,209,10%
PIEN8,217,10%
PIEN9,579,25%
PIEN10,200.3,25%
PIEN11,199.8,10%
PIEN12,210.7,10%
PIEN13,208.4,25%
PIEN14,207.3,25%
PIEN15,207.2,10%
PIEN16,214.2,10%
PIEN17,216.1,10%
PIEN18,586.6,10%
PIEN19,298.1,10%
PIEN20,207.2,10%
PIEN21,,
PIEN22,195.3,10%
PIEN23,199.3,10%
PIEN24,538.6,10%
PIEN25,193.4,10%
PIEN26,192,25%
PIEN27,518.8,10%
PIEN28,196.7,90%
PIEN29,264.2,10%
PIEN30,195.4,50%
PIEN31,554.6,10%
PIEN32,206.5,10%
PIEN33,200.9,75%
PIEN34,543.2,10%
PIEN35,199.7,>90%
PIEN36,189.7,90%
PIEN37,192.6,10%
PIEN38,527.8,10%
PIEN39,197.5,25%
PIEN40,,10%
PIEN41,190.2,>90%
PIEN42,504.3,10%
PIEN43,182.8,90%
PIEN44,190.6,>90%
PIEN45,201,>90%
PIEN46,514.7,10%
PIEN47,188.9,50%
PIEN48,186.9,50%
PIEN49,190.7,50%
PIEN50,189.6,10%
PIEN51,188.4,25%
PIEN52,197.3,10%
PIEN53,192.1,>90%
PIEN54,186,75%
PIEN55,183.2,75%
PIEN56,199.3,10%
PIEN57,190.4,>90%
PIEN58,196.5,10%
PIEN59,188.3,10%
PIEN60,189.4,10%
