TreeID,VWC_perc
PIFL1,10.9
PIFL3,9.5
PIFL9,8.8
PIFL10,8.5
PIFL12,8.2
PIFL17,9.1
PIFL21,10.6
PIFL27,10.5
PIFL28,10.1
PIFL29,11.5
PIFL36,10.7
PIFL40,11.2
PIFL41,9.2
PIFL43,9.2
PIFL46,9.9
PIFL47,9.1
PIFL52,9.5
PIFL54,9.9
PIFL55,9
PIFL57,9.8
