TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIEN1,530,10%,4.535
PIEN2,470.6,10%,5.304
PIEN3,515.5,10%,5.591
PIEN4,508.2,10%,5.188
PIEN5,497.3,10%,6.131
PIEN6,528.8,10%,4.416
PIEN7,491.6,10%,5.701
PIEN8,522.1,10%,5.159
PIEN9,542.4,10%,5.115
PIEN10,490.8,10%,4.55
PIEN11,488.7,10%,4.979
PIEN12,528.3,10%,6.13
PIEN13,500.7,10%,4.621
PIEN14,491.1,10%,4.406
PIEN15,511.8,10%,5.419
PIEN16,510.9,10%,5.09
PIEN17,520.4,10%,5.137
PIEN18,535.6,10%,5.086
PIEN19,530.1,10%,3.764
PIEN20,488.6,10%,5.603
PIEN21,517.7,10%,6.012
PIEN22,488.9,10%,6.167
PIEN23,535.1,10%,4.556
PIEN24,531,10%,5.668
PIEN25,504,10%,5.336
PIEN26,506.5,10%,5.53
PIEN27,519.4,10%,5.378
PIEN28,489.7,10%,5.081
PIEN29,538.4,10%,3.587
PIEN30,511.9,10%,5.668
PIEN31,510.5,10%,4.791
PIEN32,515.6,10%,2.831
PIEN33,491,10%,4.911
PIEN34,486.5,10%,5.141
PIEN35,495.7,10%,5.529
PIEN36,451.3,10%,4.5
PIEN37,407.4,10%,4.027
PIEN38,463.3,10%,4.929
PIEN39,518.5,10%,5.197
PIEN40,462.8,10%,6.345
PIEN41,412.9,10%,4.959
PIEN42,432.3,10%,5.802
PIEN43,469.2,10%,5.545
PIEN44,410.5,10%,5.455
PIEN45,413.8,10%,5.737
PIEN46,470.9,10%,4.403
PIEN47,488.7,10%,5.041
PIEN48,484.9,10%,4.723
PIEN49,456.6,10%,5.277
PIEN50,474.8,10%,4.075
PIEN51,463.3,10%,6.022
PIEN52,492.3,10%,5.373
PIEN53,416.2,10%,6.432
PIEN54,429.9,10%,6.266
PIEN55,421.3,10%,6.332
PIEN56,469,10%,3.742
PIEN57,458.9,10%,6.944
PIEN58,475.8,10%,5.081
PIEN59,464.1,10%,5.443
PIEN60,461.6,10%,5.451
