TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PSME1,491.3,10%,3.886
PSME2,505.4,10%,4.406
PSME3,514.7,10%,5.244
PSME4,478,10%,5.763
PSME5,501.4,10%,2.126
PSME6,496.4,10%,3.936
PSME7,507.7,10%,5.011
PSME8,503.6,10%,4.816
PSME9,510.4,10%,4.302
PSME10,464.1,10%,5.01
PSME11,499.2,10%,3.973
PSME12,500.7,10%,4.884
PSME13,517.2,10%,4.595
PSME14,505,10%,4.245
PSME15,479.9,10%,4.357
PSME16,490.7,10%,4.328
PSME17,497.2,10%,5.063
PSME18,519.4,10%,4.004
PSME19,517.4,10%,3.951
PSME20,491.8,10%,4.554
PSME21,489.1,10%,5.029
PSME22,528.7,10%,3.718
PSME23,495.7,10%,4.945
PSME24,499.2,10%,4.565
PSME25,474.3,10%,5.09
PSME26,414.9,10%,5.892
PSME27,509.1,10%,5.746
PSME28,475.7,10%,4.9
PSME29,514.2,10%,3.85
PSME30,477.4,10%,5.248
PSME31,470.1,10%,4.871
PSME32,487.3,10%,4.301
PSME33,503.4,10%,3.42
PSME34,496,10%,4.825
PSME35,484.8,10%,4.188
PSME36,482.6,10%,4.896
PSME37,463.4,10%,4.317
PSME38,504.1,10%,4.84
PSME39,489.9,10%,4.872
PSME40,458,10%,5.688
PSME41,457.8,10%,5.064
PSME42,477.8,10%,5.418
PSME43,447.4,10%,6.033
PSME44,414.7,10%,5.085
PSME45,477.6,10%,5.33
PSME46,489.2,10%,3.897
PSME47,387.8,10%,4.802
PSME48,496,10%,4.616
PSME49,457.2,10%,5.44
PSME50,421.2,10%,6.101
PSME51,499,10%,3.721
PSME52,503.5,10%,4.266
PSME53,491,10%,4.812
PSME54,487.5,10%,4.192
PSME55,474.7,10%,5.136
PSME56,465,10%,4.995
PSME57,504.1,10%,5.075
PSME58,498.8,10%,5.919
PSME59,479.8,10%,5.825
PSME60,497.3,10%,4.935
