TreeID,VWC_perc
PIPO1,11.1
PIPO2,10.4
PIPO5,11.8
PIPO10,13.9
PIPO11,8.1
PIPO16,9.5
PIPO18,11.4
PIPO19,11.1
PIPO20,8.5
PIPO22,9.9
PIPO31,11.9
PIPO32,11.2
PIPO35,11.1
PIPO48,13.7
PIPO51,8.7
PIPO52,10.7
PIPO53,10.7
PIPO55,7.1
PIPO56,11.7
PIPO58,10.5
