Type,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Fresh,"13,413.20","12,393.00","11,217.00","10,729.40","10,195.10","9,091.50","8,487.40","7,993.50","8,051.00","7,081.00","6,814.40","6,782.40","5,904.60","5,899.70","5,364.00","4,328.00","4,496.20","4,270.50","3,972.10","3,563.90","3,345.50","2,981.10","2,546.40","2,443.00","2,148.00","2,014.00"
Frozen,"1,366.80","1,343.80","1,292.40","1,174.30","1,188.80","1,087.20","1,046.30",932.8,920.4,890.3,833.3,782.9,798,754.5,630.7,627.7,667.7,565.4,468.6,439,420.1,367.4,315.5,283.3,273.1,289.4
