TreeID,VWC_perc
PIPO1,14.7
PIPO2,0
PIPO5,14.4
PIPO10,0
PIPO11,12.9
PIPO16,0
PIPO18,15.7
PIPO19,0
PIPO20,14.7
PIPO22,0
PIPO31,16.1
PIPO32,0
PIPO35,14.5
PIPO48,3.6
PIPO51,16.6
PIPO52,0
PIPO53,17.8
PIPO55,0
PIPO56,16.3
PIPO58,0
