TreeID,VWC_perc
PIFL1,17.2
PIFL3,0
PIFL9,17.5
PIFL10,0
PIFL12,17.8
PIFL17,0
PIFL21,17.1
PIFL27,0
PIFL28,14.6
PIFL29,0
PIFL36,19.1
PIFL40,2.8
PIFL41,15.5
PIFL43,0
PIFL46,16.6
PIFL47,0
PIFL52,18.1
PIFL54,0
PIFL55,15.1
PIFL57,0
