TreeID,VWC_perc
PIEN1,14.6
PIEN4,0
PIEN9,15.8
PIEN14,4.2
PIEN18,13.9
PIEN21,0
PIEN24,18.1
PIEN26,0
PIEN27,16.7
PIEN28,0
PIEN31,13.9
PIEN33,0
PIEN34,15.7
PIEN35,0
PIEN38,14.8
PIEN40,0
PIEN42,15.8
PIEN45,0
PIEN46,15.7
PIEN56,0
