TreeID,VWC_perc
PSME3,13.7
PSME6,4.7
PSME12,11.9
PSME15,0
PSME17,11.7
PSME20,0
PSME22,15.9
PSME26,0
PSME27,13.2
PSME30,0
PSME31,9.3
PSME35,1.2
PSME37,13
PSME42,0
PSME45,13.2
PSME46,3.9
PSME48,14.7
PSME50,0
PSME57,14
PSME58,0
