TreeID,Conductance_mmol_m2s,date,spp,id,con,temp,water,week
PIEN21,179.7,2025-09-05T07:00:00Z,PIEN,21,179.7,ambient,drought,7
PIEN24,257.5,2025-09-05T07:00:00Z,PIEN,24,257.5,ambient,water,7
PIEN26,145.3,2025-09-05T07:00:00Z,PIEN,26,145.3,ambient,drought,7
PIEN27,367.7,2025-09-05T07:00:00Z,PIEN,27,367.7,ambient,water,7
PIEN28,98.6,2025-09-05T07:00:00Z,PIEN,28,98.6,ambient,drought,7
PIEN31,169.5,2025-09-05T07:00:00Z,PIEN,31,169.5,heatwave,water,7
PIEN33,123,2025-09-05T07:00:00Z,PIEN,33,123,heatwave,drought,7
PIEN34,361.2,2025-09-05T07:00:00Z,PIEN,34,361.2,heatwave,water,7
PIEN35,140,2025-09-05T07:00:00Z,PIEN,35,140,heatwave,drought,7
PIEN38,160.6,2025-09-05T07:00:00Z,PIEN,38,160.6,heatwave,water,7
PIEN40,74.8,2025-09-05T07:00:00Z,PIEN,40,74.8,heatwave,drought,7
PIEN42,346.6,2025-09-05T07:00:00Z,PIEN,42,346.6,heatwave,water,7
PIEN45,110.7,2025-09-05T07:00:00Z,PIEN,45,110.7,heatwave,drought,7
PIEN46,444.2,2025-09-05T07:00:00Z,PIEN,46,444.2,heatwave,water,7
PIEN56,151.2,2025-09-05T07:00:00Z,PIEN,56,151.2,heatwave,drought,7
PIEN1,257.4,2025-09-19T07:00:00Z,PIEN,1,257.4,ambient,water,9
PIEN4,234.9,2025-09-19T07:00:00Z,PIEN,4,234.9,ambient,drought,9
PIEN9,209.9,2025-09-19T07:00:00Z,PIEN,9,209.9,ambient,water,9
PIEN14,168.4,2025-09-19T07:00:00Z,PIEN,14,168.4,ambient,drought,9
PIEN18,242.1,2025-09-19T07:00:00Z,PIEN,18,242.1,ambient,water,9
PIEN21,213.7,2025-09-19T07:00:00Z,PIEN,21,213.7,ambient,drought,9
PIEN24,279.9,2025-09-19T07:00:00Z,PIEN,24,279.9,ambient,water,9
PIEN26,115.1,2025-09-19T07:00:00Z,PIEN,26,115.1,ambient,drought,9
PIEN27,319.1,2025-09-19T07:00:00Z,PIEN,27,319.1,ambient,water,9
