TreeID,cpt,swl_rate,spp,id,temp,water
PIPO2,12,0.999999999963444,PIPO,2,ambient,drought
PIPO3,18,0.9999999884285832,PIPO,3,ambient,drought
PIPO4,21,0.9999999991462538,PIPO,4,ambient,drought
PIPO6,19,0.9999999273775367,PIPO,6,ambient,drought
PIPO7,31,0.9999760193160055,PIPO,7,ambient,drought
PIPO8,19,0.9999999999672484,PIPO,8,ambient,drought
PIPO9,15,0.9999999999982008,PIPO,9,ambient,drought
PIPO10,20,0.9999999997229704,PIPO,10,ambient,drought
PIPO12,17,0.9999999999755507,PIPO,12,ambient,drought
PIPO13,25,0.9999999850738989,PIPO,13,ambient,drought
PIPO14,26,0.9999997043542913,PIPO,14,ambient,drought
PIPO15,28,0.999999269147609,PIPO,15,ambient,drought
PIPO16,18,0.9999999976095962,PIPO,16,ambient,drought
PIPO17,39,0.9999897335208034,PIPO,17,ambient,drought
PIPO19,21,0.9999999678953906,PIPO,19,ambient,drought
PIPO21,33,0.9999997976813311,PIPO,21,ambient,drought
PIPO22,38,0.9999986844987576,PIPO,22,ambient,drought
PIPO23,31,0.9999998686457434,PIPO,23,ambient,drought
PIPO24,52,0.9999593263275636,PIPO,24,ambient,drought
PIPO25,27,0.9999999851047273,PIPO,25,ambient,drought
PIPO26,22,0.999999995863212,PIPO,26,ambient,drought
PIPO27,19,0.9999999998861681,PIPO,27,ambient,drought
PIPO28,13,0.9999999999979715,PIPO,28,ambient,drought
PIPO29,23,0.9999999989238078,PIPO,29,ambient,drought
PIPO30,32,0.9999972113729333,PIPO,30,ambient,drought
PIPO32,25,0.999999999876435,PIPO,32,heatwave,drought
PIPO33,18,0.9999999999877708,PIPO,33,heatwave,drought
PIPO34,22,0.9999999999623931,PIPO,34,heatwave,drought
PIPO36,23,0.9999999945432136,PIPO,36,heatwave,drought
PIPO37,27,0.9999998811148689,PIPO,37,heatwave,drought
PIPO38,28,0.9999999985345996,PIPO,38,heatwave,drought
PIPO39,28,0.9999999816157632,PIPO,39,heatwave,drought
PIPO40,27,0.9999962080381414,PIPO,40,heatwave,drought
PIPO41,24,0.9999982454177334,PIPO,41,heatwave,drought
PIPO42,29,0.9999994577361043,PIPO,42,heatwave,drought
PIPO43,26,0.99999999308206855,PIPO,43,heatwave,drought
PIPO44,26,0.9999998413044466,PIPO,44,heatwave,drought
PIPO45,27,0.9999999816418729,PIPO,45,heatwave,drought
PIPO46,27,0.9999999870348367,PIPO,46,heatwave,drought
PIPO47,29,0.9999998838645808,PIPO,47,heatwave,drought
PIPO48,29,0.9999802488760772,PIPO,48,heatwave,drought
PIPO49,27,0.9999999690828734,PIPO,49,heatwave,drought
PIPO50,24,0.9999988881080896,PIPO,50,heatwave,drought
PIPO52,30,0.9999998058789425,PIPO,52,heatwave,drought
PIPO54,25,0.999999989141847,PIPO,54,heatwave,drought
PIPO55,20,0.9999991486612291,PIPO,55,heatwave,drought
PIPO57,27,0.9999999922895138,PIPO,57,heatwave,drought
PIPO58,26,0.9999998275937467,PIPO,58,heatwave,drought
PIPO59,29,0.9999942342203556,PIPO,59,heatwave,drought
PIPO60,28,0.9999993726483571,PIPO,60,heatwave,drought
PSME1,21,0.9999974583881569,PSME,1,ambient,drought
PSME2,36,0.9999873038133114,PSME,2,ambient,drought
PSME4,24,0.9995520020197439,PSME,4,ambient,drought
PSME5,49,0.8157861422018038,PSME,5,ambient,drought
PSME6,46,0.9961675093326066,PSME,6,ambient,drought
PSME7,27,0.9999999194859669,PSME,7,ambient,drought
PSME8,27,0.9999998365451301,PSME,8,ambient,drought
PSME9,30,0.9999993180577728,PSME,9,ambient,drought
PSME10,16,0.9999999960575966,PSME,10,ambient,drought
PSME11,24,0.9999999163549743,PSME,11,ambient,drought
PSME13,46,0.9974144296931631,PSME,13,ambient,drought
PSME14,40,0.9998667035704508,PSME,14,ambient,drought
PSME15,20,0.9999999836793921,PSME,15,ambient,drought
PSME16,30,0.9999933347697971,PSME,16,ambient,drought
PSME18,47,0.9997867282391518,PSME,18,ambient,drought
PSME19,37,0.9999185301673186,PSME,19,ambient,drought
PSME20,23,0.9999994827001437,PSME,20,ambient,drought
PSME21,22,0.9999991181147208,PSME,21,ambient,drought
PSME23,50,0.9991183141009545,PSME,23,ambient,drought
PSME24,51,0.9983957552569125,PSME,24,ambient,drought
PSME25,24,0.9999360085762056,PSME,25,ambient,drought
PSME26,24,0.9999876671501692,PSME,26,ambient,drought
PSME28,23,0.9999998173586677,PSME,28,ambient,drought
PSME29,32,0.9999918375905784,PSME,29,ambient,drought
PSME30,21,0.9999996557020073,PSME,30,ambient,drought
PSME32,29,0.999995075552611,PSME,32,heatwave,drought
PSME33,30,0.9999867039739574,PSME,33,heatwave,drought
PSME34,26,0.9985772780129931,PSME,34,heatwave,drought
PSME35,24,0.9999738897042579,PSME,35,heatwave,drought
PSME36,25,0.999999518833295,PSME,36,heatwave,drought
PSME38,26,0.9999999046349805,PSME,38,heatwave,drought
PSME39,27,0.9999998555456628,PSME,39,heatwave,drought
PSME40,21,0.9999999120757899,PSME,40,heatwave,drought
PSME41,24,0.9999997482839756,PSME,41,heatwave,drought
PSME42,26,0.9999991644903113,PSME,42,heatwave,drought
PSME43,23,0.9999982829203924,PSME,43,heatwave,drought
PSME44,23,0.9999942995445458,PSME,44,heatwave,drought
PSME46,31,0.9998183111268112,PSME,46,heatwave,drought
PSME47,20,0.999990166231987,PSME,47,heatwave,drought
PSME49,28,0.9999989986113854,PSME,49,heatwave,drought
PSME50,20,0.9999994371889136,PSME,50,heatwave,drought
PSME51,27,0.9999985094560401,PSME,51,heatwave,drought
PSME52,28,0.9998299575690359,PSME,52,heatwave,drought
PSME53,28,0.9999985939978523,PSME,53,heatwave,drought
PSME54,24,0.9999999941941559,PSME,54,heatwave,drought
PSME55,21,0.9999999958033128,PSME,55,heatwave,drought
PSME56,27,0.999999211061395,PSME,56,heatwave,drought
PSME58,27,0.9999999659516879,PSME,58,heatwave,drought
PSME59,24,0.9999999748544764,PSME,59,heatwave,drought
PSME60,28,0.9999929502084886,PSME,60,heatwave,drought
