TreeID,Fv_Fm_dark,date,spp,id,temp,water,week
PIEN45,0.77,2025-08-25T07:00:00Z,PIEN,45,heatwave,drought,6
PIEN46,0.79,2025-08-25T07:00:00Z,PIEN,46,heatwave,water,6
PIEN56,0.8,2025-08-25T07:00:00Z,PIEN,56,heatwave,drought,6
PIEN1,0.81,2025-09-01T07:00:00Z,PIEN,1,ambient,water,7
PIEN4,0.74,2025-09-01T07:00:00Z,PIEN,4,ambient,drought,7
PIEN9,0.78,2025-09-01T07:00:00Z,PIEN,9,ambient,water,7
PIEN14,0.8,2025-09-01T07:00:00Z,PIEN,14,ambient,drought,7
PIEN18,0.81,2025-09-01T07:00:00Z,PIEN,18,ambient,water,7
PIEN21,0.81,2025-09-01T07:00:00Z,PIEN,21,ambient,drought,7
PIEN24,0.8,2025-09-01T07:00:00Z,PIEN,24,ambient,water,7
PIEN26,0.81,2025-09-01T07:00:00Z,PIEN,26,ambient,drought,7
PIEN27,0.79,2025-09-01T07:00:00Z,PIEN,27,ambient,water,7
PIEN28,0.77,2025-09-01T07:00:00Z,PIEN,28,ambient,drought,7
PIEN31,0.8,2025-09-01T07:00:00Z,PIEN,31,heatwave,water,7
PIEN33,0.77,2025-09-01T07:00:00Z,PIEN,33,heatwave,drought,7
PIEN34,0.81,2025-09-01T07:00:00Z,PIEN,34,heatwave,water,7
PIEN35,0.8,2025-09-01T07:00:00Z,PIEN,35,heatwave,drought,7
PIEN38,0.79,2025-09-01T07:00:00Z,PIEN,38,heatwave,water,7
PIEN40,0.78,2025-09-01T07:00:00Z,PIEN,40,heatwave,drought,7
PIEN42,0.79,2025-09-01T07:00:00Z,PIEN,42,heatwave,water,7
PIEN45,0.77,2025-09-01T07:00:00Z,PIEN,45,heatwave,drought,7
PIEN46,0.8,2025-09-01T07:00:00Z,PIEN,46,heatwave,water,7
PIEN56,0.8,2025-09-01T07:00:00Z,PIEN,56,heatwave,drought,7
PIEN1,0.81,2025-09-15T07:00:00Z,PIEN,1,ambient,water,9
PIEN4,0.8,2025-09-15T07:00:00Z,PIEN,4,ambient,drought,9
PIEN9,0.79,2025-09-15T07:00:00Z,PIEN,9,ambient,water,9
PIEN14,0.77,2025-09-15T07:00:00Z,PIEN,14,ambient,drought,9
PIEN18,0.81,2025-09-15T07:00:00Z,PIEN,18,ambient,water,9
PIEN21,0.79,2025-09-15T07:00:00Z,PIEN,21,ambient,drought,9
PIEN24,0.8,2025-09-15T07:00:00Z,PIEN,24,ambient,water,9
PIEN26,0.81,2025-09-15T07:00:00Z,PIEN,26,ambient,drought,9
PIEN27,0.8,2025-09-15T07:00:00Z,PIEN,27,ambient,water,9
PIEN28,0.78,2025-09-15T07:00:00Z,PIEN,28,ambient,drought,9
PIEN31,0.81,2025-09-15T07:00:00Z,PIEN,31,heatwave,water,9
PIEN33,0.79,2025-09-15T07:00:00Z,PIEN,33,heatwave,drought,9
PIEN34,0.81,2025-09-15T07:00:00Z,PIEN,34,heatwave,water,9
PIEN35,0.79,2025-09-15T07:00:00Z,PIEN,35,heatwave,drought,9
PIEN38,0.78,2025-09-15T07:00:00Z,PIEN,38,heatwave,water,9
PIEN40,0.78,2025-09-15T07:00:00Z,PIEN,40,heatwave,drought,9
PIEN42,0.8,2025-09-15T07:00:00Z,PIEN,42,heatwave,water,9
PIEN45,0.77,2025-09-15T07:00:00Z,PIEN,45,heatwave,drought,9
PIEN46,0.79,2025-09-15T07:00:00Z,PIEN,46,heatwave,water,9
PIEN56,0.81,2025-09-15T07:00:00Z,PIEN,56,heatwave,drought,9
PIEN1,0.81,2025-09-22T07:00:00Z,PIEN,1,ambient,water,10
PIEN4,0.78,2025-09-22T07:00:00Z,PIEN,4,ambient,drought,10
PIEN9,0.78,2025-09-22T07:00:00Z,PIEN,9,ambient,water,10
PIEN14,0.79,2025-09-22T07:00:00Z,PIEN,14,ambient,drought,10
PIEN18,0.81,2025-09-22T07:00:00Z,PIEN,18,ambient,water,10
PIEN21,0.81,2025-09-22T07:00:00Z,PIEN,21,ambient,drought,10
PIEN24,0.81,2025-09-22T07:00:00Z,PIEN,24,ambient,water,10
PIEN26,0.78,2025-09-22T07:00:00Z,PIEN,26,ambient,drought,10
PIEN27,0.79,2025-09-22T07:00:00Z,PIEN,27,ambient,water,10
PIEN28,0.78,2025-09-22T07:00:00Z,PIEN,28,ambient,drought,10
PIEN31,0.8,2025-09-22T07:00:00Z,PIEN,31,heatwave,water,10
PIEN33,0.76,2025-09-22T07:00:00Z,PIEN,33,heatwave,drought,10
PIEN34,0.8,2025-09-22T07:00:00Z,PIEN,34,heatwave,water,10
PIEN35,0.79,2025-09-22T07:00:00Z,PIEN,35,heatwave,drought,10
PIEN38,0.81,2025-09-22T07:00:00Z,PIEN,38,heatwave,water,10
PIEN40,0.75,2025-09-22T07:00:00Z,PIEN,40,heatwave,drought,10
PIEN42,0.8,2025-09-22T07:00:00Z,PIEN,42,heatwave,water,10
PIEN45,0.76,2025-09-22T07:00:00Z,PIEN,45,heatwave,drought,10
PIEN46,0.8,2025-09-22T07:00:00Z,PIEN,46,heatwave,water,10
PIEN56,0.79,2025-09-22T07:00:00Z,PIEN,56,heatwave,drought,10
PIFL1,0.82,2025-08-04T07:00:00Z,PIFL,1,ambient,water,3
PIFL3,0.81,2025-08-04T07:00:00Z,PIFL,3,ambient,drought,3
PIFL9,0.81,2025-08-04T07:00:00Z,PIFL,9,ambient,water,3
PIFL10,0.81,2025-08-04T07:00:00Z,PIFL,10,ambient,drought,3
PIFL12,0.81,2025-08-04T07:00:00Z,PIFL,12,ambient,water,3
PIFL17,0.83,2025-08-04T07:00:00Z,PIFL,17,ambient,drought,3
PIFL21,0.8,2025-08-04T07:00:00Z,PIFL,21,ambient,water,3
PIFL27,0.82,2025-08-04T07:00:00Z,PIFL,27,ambient,drought,3
PIFL28,0.82,2025-08-04T07:00:00Z,PIFL,28,ambient,water,3
PIFL29,0.81,2025-08-04T07:00:00Z,PIFL,29,ambient,drought,3
PIFL36,0.81,2025-08-04T07:00:00Z,PIFL,36,heatwave,water,3
PIFL40,0.81,2025-08-04T07:00:00Z,PIFL,40,heatwave,drought,3
PIFL41,0.8,2025-08-04T07:00:00Z,PIFL,41,heatwave,water,3
PIFL43,0.79,2025-08-04T07:00:00Z,PIFL,43,heatwave,drought,3
PIFL46,0.81,2025-08-04T07:00:00Z,PIFL,46,heatwave,water,3
PIFL47,0.81,2025-08-04T07:00:00Z,PIFL,47,heatwave,drought,3
PIFL52,0.82,2025-08-04T07:00:00Z,PIFL,52,heatwave,water,3
PIFL54,0.83,2025-08-04T07:00:00Z,PIFL,54,heatwave,drought,3
PIFL55,0.82,2025-08-04T07:00:00Z,PIFL,55,heatwave,water,3
PIFL57,0.82,2025-08-04T07:00:00Z,PIFL,57,heatwave,drought,3
PIFL1,0.8,2025-08-11T07:00:00Z,PIFL,1,ambient,water,4
PIFL3,0.81,2025-08-11T07:00:00Z,PIFL,3,ambient,drought,4
PIFL9,0.81,2025-08-11T07:00:00Z,PIFL,9,ambient,water,4
PIFL10,0.81,2025-08-11T07:00:00Z,PIFL,10,ambient,drought,4
PIFL12,0.79,2025-08-11T07:00:00Z,PIFL,12,ambient,water,4
PIFL17,0.81,2025-08-11T07:00:00Z,PIFL,17,ambient,drought,4
PIFL21,0.79,2025-08-11T07:00:00Z,PIFL,21,ambient,water,4
PIFL27,0.8,2025-08-11T07:00:00Z,PIFL,27,ambient,drought,4
PIFL28,0.8,2025-08-11T07:00:00Z,PIFL,28,ambient,water,4
PIFL29,0.8,2025-08-11T07:00:00Z,PIFL,29,ambient,drought,4
PIFL36,0.8,2025-08-11T07:00:00Z,PIFL,36,heatwave,water,4
PIFL40,0.81,2025-08-11T07:00:00Z,PIFL,40,heatwave,drought,4
PIFL41,0.79,2025-08-11T07:00:00Z,PIFL,41,heatwave,water,4
PIFL43,0.78,2025-08-11T07:00:00Z,PIFL,43,heatwave,drought,4
PIFL46,0.8,2025-08-11T07:00:00Z,PIFL,46,heatwave,water,4
PIFL47,0.74,2025-08-11T07:00:00Z,PIFL,47,heatwave,drought,4
PIFL52,0.8,2025-08-11T07:00:00Z,PIFL,52,heatwave,water,4
PIFL54,0.8,2025-08-11T07:00:00Z,PIFL,54,heatwave,drought,4
PIFL55,0.81,2025-08-11T07:00:00Z,PIFL,55,heatwave,water,4
PIFL57,0.81,2025-08-11T07:00:00Z,PIFL,57,heatwave,drought,4
PIFL1,0.8,2025-08-18T07:00:00Z,PIFL,1,ambient,water,5
PIFL3,0.81,2025-08-18T07:00:00Z,PIFL,3,ambient,drought,5
PIFL9,0.79,2025-08-18T07:00:00Z,PIFL,9,ambient,water,5
PIFL10,0.81,2025-08-18T07:00:00Z,PIFL,10,ambient,drought,5
PIFL12,0.79,2025-08-18T07:00:00Z,PIFL,12,ambient,water,5
PIFL17,0.81,2025-08-18T07:00:00Z,PIFL,17,ambient,drought,5
PIFL21,0.79,2025-08-18T07:00:00Z,PIFL,21,ambient,water,5
PIFL27,0.8,2025-08-18T07:00:00Z,PIFL,27,ambient,drought,5
PIFL28,0.81,2025-08-18T07:00:00Z,PIFL,28,ambient,water,5
PIFL29,0.8,2025-08-18T07:00:00Z,PIFL,29,ambient,drought,5
PIFL36,0.8,2025-08-18T07:00:00Z,PIFL,36,heatwave,water,5
PIFL40,0.8,2025-08-18T07:00:00Z,PIFL,40,heatwave,drought,5
PIFL41,0.79,2025-08-18T07:00:00Z,PIFL,41,heatwave,water,5
PIFL43,0.8,2025-08-18T07:00:00Z,PIFL,43,heatwave,drought,5
PIFL46,0.81,2025-08-18T07:00:00Z,PIFL,46,heatwave,water,5
PIFL47,0.69,2025-08-18T07:00:00Z,PIFL,47,heatwave,drought,5
PIFL52,0.8,2025-08-18T07:00:00Z,PIFL,52,heatwave,water,5
PIFL54,0.81,2025-08-18T07:00:00Z,PIFL,54,heatwave,drought,5
PIFL55,0.81,2025-08-18T07:00:00Z,PIFL,55,heatwave,water,5
PIFL57,0.81,2025-08-18T07:00:00Z,PIFL,57,heatwave,drought,5
PIFL1,0.8,2025-08-25T07:00:00Z,PIFL,1,ambient,water,6
PIFL3,0.81,2025-08-25T07:00:00Z,PIFL,3,ambient,drought,6
PIFL9,0.81,2025-08-25T07:00:00Z,PIFL,9,ambient,water,6
PIFL10,0.81,2025-08-25T07:00:00Z,PIFL,10,ambient,drought,6
PIFL12,0.81,2025-08-25T07:00:00Z,PIFL,12,ambient,water,6
PIFL17,0.81,2025-08-25T07:00:00Z,PIFL,17,ambient,drought,6
PIFL21,0.79,2025-08-25T07:00:00Z,PIFL,21,ambient,water,6
PIFL27,0.8,2025-08-25T07:00:00Z,PIFL,27,ambient,drought,6
PIFL28,0.81,2025-08-25T07:00:00Z,PIFL,28,ambient,water,6
PIFL29,0.8,2025-08-25T07:00:00Z,PIFL,29,ambient,drought,6
PIFL36,0.81,2025-08-25T07:00:00Z,PIFL,36,heatwave,water,6
PIFL40,0.8,2025-08-25T07:00:00Z,PIFL,40,heatwave,drought,6
PIFL41,0.8,2025-08-25T07:00:00Z,PIFL,41,heatwave,water,6
PIFL43,0.81,2025-08-25T07:00:00Z,PIFL,43,heatwave,drought,6
PIFL46,0.81,2025-08-25T07:00:00Z,PIFL,46,heatwave,water,6
PIFL47,0.8,2025-08-25T07:00:00Z,PIFL,47,heatwave,drought,6
PIFL52,0.8,2025-08-25T07:00:00Z,PIFL,52,heatwave,water,6
PIFL54,0.81,2025-08-25T07:00:00Z,PIFL,54,heatwave,drought,6
PIFL55,0.81,2025-08-25T07:00:00Z,PIFL,55,heatwave,water,6
PIFL57,0.81,2025-08-25T07:00:00Z,PIFL,57,heatwave,drought,6
PIFL1,0.8,2025-09-01T07:00:00Z,PIFL,1,ambient,water,7
PIFL3,0.8,2025-09-01T07:00:00Z,PIFL,3,ambient,drought,7
PIFL9,0.81,2025-09-01T07:00:00Z,PIFL,9,ambient,water,7
PIFL10,0.8,2025-09-01T07:00:00Z,PIFL,10,ambient,drought,7
PIFL12,0.8,2025-09-01T07:00:00Z,PIFL,12,ambient,water,7
PIFL17,0.81,2025-09-01T07:00:00Z,PIFL,17,ambient,drought,7
PIFL21,0.79,2025-09-01T07:00:00Z,PIFL,21,ambient,water,7
PIFL27,0.81,2025-09-01T07:00:00Z,PIFL,27,ambient,drought,7
PIFL28,0.8,2025-09-01T07:00:00Z,PIFL,28,ambient,water,7
PIFL29,0.8,2025-09-01T07:00:00Z,PIFL,29,ambient,drought,7
PIFL36,0.8,2025-09-01T07:00:00Z,PIFL,36,heatwave,water,7
PIFL40,0.8,2025-09-01T07:00:00Z,PIFL,40,heatwave,drought,7
PIFL41,0.81,2025-09-01T07:00:00Z,PIFL,41,heatwave,water,7
PIFL43,0.81,2025-09-01T07:00:00Z,PIFL,43,heatwave,drought,7
PIFL46,0.81,2025-09-01T07:00:00Z,PIFL,46,heatwave,water,7
PIFL47,0.74,2025-09-01T07:00:00Z,PIFL,47,heatwave,drought,7
PIFL52,0.81,2025-09-01T07:00:00Z,PIFL,52,heatwave,water,7
PIFL54,0.81,2025-09-01T07:00:00Z,PIFL,54,heatwave,drought,7
PIFL55,0.82,2025-09-01T07:00:00Z,PIFL,55,heatwave,water,7
PIFL57,0.81,2025-09-01T07:00:00Z,PIFL,57,heatwave,drought,7
PIFL1,0.81,2025-09-15T07:00:00Z,PIFL,1,ambient,water,9
PIFL3,0.8,2025-09-15T07:00:00Z,PIFL,3,ambient,drought,9
PIFL9,0.8,2025-09-15T07:00:00Z,PIFL,9,ambient,water,9
PIFL10,0.8,2025-09-15T07:00:00Z,PIFL,10,ambient,drought,9
PIFL12,0.78,2025-09-15T07:00:00Z,PIFL,12,ambient,water,9
PIFL17,0.8,2025-09-15T07:00:00Z,PIFL,17,ambient,drought,9
PIFL21,0.79,2025-09-15T07:00:00Z,PIFL,21,ambient,water,9
PIFL27,0.81,2025-09-15T07:00:00Z,PIFL,27,ambient,drought,9
PIFL28,0.81,2025-09-15T07:00:00Z,PIFL,28,ambient,water,9
PIFL29,0.81,2025-09-15T07:00:00Z,PIFL,29,ambient,drought,9
PIFL36,0.8,2025-09-15T07:00:00Z,PIFL,36,heatwave,water,9
PIFL40,0.8,2025-09-15T07:00:00Z,PIFL,40,heatwave,drought,9
PIFL41,0.81,2025-09-15T07:00:00Z,PIFL,41,heatwave,water,9
PIFL43,0.8,2025-09-15T07:00:00Z,PIFL,43,heatwave,drought,9
PIFL46,0.81,2025-09-15T07:00:00Z,PIFL,46,heatwave,water,9
PIFL47,0.7,2025-09-15T07:00:00Z,PIFL,47,heatwave,drought,9
PIFL52,0.8,2025-09-15T07:00:00Z,PIFL,52,heatwave,water,9
PIFL54,0.81,2025-09-15T07:00:00Z,PIFL,54,heatwave,drought,9
PIFL55,0.81,2025-09-15T07:00:00Z,PIFL,55,heatwave,water,9
PIFL57,0.79,2025-09-15T07:00:00Z,PIFL,57,heatwave,drought,9
PIFL1,0.8,2025-09-22T07:00:00Z,PIFL,1,ambient,water,10
PIFL3,0.8,2025-09-22T07:00:00Z,PIFL,3,ambient,drought,10
PIFL9,0.81,2025-09-22T07:00:00Z,PIFL,9,ambient,water,10
PIFL10,0.8,2025-09-22T07:00:00Z,PIFL,10,ambient,drought,10
PIFL12,0.79,2025-09-22T07:00:00Z,PIFL,12,ambient,water,10
PIFL17,0.81,2025-09-22T07:00:00Z,PIFL,17,ambient,drought,10
PIFL21,0.79,2025-09-22T07:00:00Z,PIFL,21,ambient,water,10
PIFL27,0.8,2025-09-22T07:00:00Z,PIFL,27,ambient,drought,10
PIFL28,0.81,2025-09-22T07:00:00Z,PIFL,28,ambient,water,10
PIFL29,0.8,2025-09-22T07:00:00Z,PIFL,29,ambient,drought,10
PIFL36,0.8,2025-09-22T07:00:00Z,PIFL,36,heatwave,water,10
PIFL40,0.78,2025-09-22T07:00:00Z,PIFL,40,heatwave,drought,10
PIFL41,0.8,2025-09-22T07:00:00Z,PIFL,41,heatwave,water,10
