TreeID,date,spp,id,brown_perc,diam_mm,temp,water,weight,day,week
PIEN21,2025-07-24T07:00:00Z,PIEN,21,10,6,ambient,drought,517.7,3,1
PIEN22,2025-07-24T07:00:00Z,PIEN,22,10,6.2,ambient,drought,488.9,3,1
PIEN23,2025-07-24T07:00:00Z,PIEN,23,10,4.6,ambient,drought,535.1,3,1
PIEN24,2025-07-24T07:00:00Z,PIEN,24,10,5.7,ambient,water,531,3,1
PIEN25,2025-07-24T07:00:00Z,PIEN,25,10,5.3,ambient,drought,504,3,1
PIEN26,2025-07-24T07:00:00Z,PIEN,26,10,5.5,ambient,drought,506.5,3,1
PIEN27,2025-07-24T07:00:00Z,PIEN,27,10,5.4,ambient,water,519.4,3,1
PIEN28,2025-07-24T07:00:00Z,PIEN,28,10,5.1,ambient,drought,489.7,3,1
PIEN29,2025-07-24T07:00:00Z,PIEN,29,10,3.6,ambient,drought,538.4,3,1
PIEN30,2025-07-24T07:00:00Z,PIEN,30,10,5.7,ambient,drought,511.9,3,1
PIEN31,2025-07-24T07:00:00Z,PIEN,31,10,4.8,heatwave,water,510.5,3,1
PIEN32,2025-07-24T07:00:00Z,PIEN,32,10,2.8,heatwave,drought,515.6,3,1
PIEN33,2025-07-24T07:00:00Z,PIEN,33,10,4.9,heatwave,drought,491,3,1
PIEN34,2025-07-24T07:00:00Z,PIEN,34,10,5.1,heatwave,water,486.5,3,1
PIEN35,2025-07-24T07:00:00Z,PIEN,35,10,5.5,heatwave,drought,495.7,3,1
PIEN36,2025-07-24T07:00:00Z,PIEN,36,10,4.5,heatwave,drought,451.3,3,1
PIEN37,2025-07-24T07:00:00Z,PIEN,37,10,4,heatwave,drought,507.4,3,1
PIEN38,2025-07-24T07:00:00Z,PIEN,38,10,4.9,heatwave,water,463.3,3,1
PIEN39,2025-07-24T07:00:00Z,PIEN,39,10,5.2,heatwave,drought,518.5,3,1
PIEN40,2025-07-24T07:00:00Z,PIEN,40,10,6.3,heatwave,drought,462.8,3,1
PIEN41,2025-07-24T07:00:00Z,PIEN,41,10,5,heatwave,drought,412.9,3,1
PIEN42,2025-07-24T07:00:00Z,PIEN,42,10,5.8,heatwave,water,432.3,3,1
PIEN43,2025-07-24T07:00:00Z,PIEN,43,10,5.5,heatwave,drought,469.2,3,1
PIEN44,2025-07-24T07:00:00Z,PIEN,44,10,5.5,heatwave,drought,410.5,3,1
PIEN45,2025-07-24T07:00:00Z,PIEN,45,10,5.7,heatwave,drought,413.8,3,1
PIEN46,2025-07-24T07:00:00Z,PIEN,46,10,4.4,heatwave,water,470.9,3,1
PIEN47,2025-07-24T07:00:00Z,PIEN,47,10,5,heatwave,drought,488.7,3,1
PIEN48,2025-07-24T07:00:00Z,PIEN,48,10,4.7,heatwave,drought,484.9,3,1
PIEN49,2025-07-24T07:00:00Z,PIEN,49,10,5.3,heatwave,drought,456.6,3,1
PIEN50,2025-07-24T07:00:00Z,PIEN,50,10,4.1,heatwave,drought,474.8,3,1
PIEN51,2025-07-24T07:00:00Z,PIEN,51,10,6,heatwave,drought,463.3,3,1
PIEN52,2025-07-24T07:00:00Z,PIEN,52,10,5.4,heatwave,drought,492.3,3,1
PIEN53,2025-07-24T07:00:00Z,PIEN,53,10,6.4,heatwave,drought,416.2,3,1
PIEN54,2025-07-24T07:00:00Z,PIEN,54,10,6.3,heatwave,drought,429.9,3,1
PIEN55,2025-07-24T07:00:00Z,PIEN,55,10,6.3,heatwave,drought,421.3,3,1
PIEN56,2025-07-24T07:00:00Z,PIEN,56,10,3.7,heatwave,drought,469,3,1
PIEN57,2025-07-24T07:00:00Z,PIEN,57,10,6.9,heatwave,drought,458.9,3,1
PIEN58,2025-07-24T07:00:00Z,PIEN,58,10,5.1,heatwave,drought,475.8,3,1
PIEN59,2025-07-24T07:00:00Z,PIEN,59,10,5.4,heatwave,drought,464.1,3,1
PIEN60,2025-07-24T07:00:00Z,PIEN,60,10,5.5,heatwave,drought,461.6,3,1
PIEN1,2025-07-31T07:00:00Z,PIEN,1,10,4.8,ambient,water,521.6,10,2
PIEN2,2025-07-31T07:00:00Z,PIEN,2,10,6.2,ambient,drought,386.5,10,2
PIEN3,2025-07-31T07:00:00Z,PIEN,3,10,5.5,ambient,drought,465.3,10,2
