TreeID,VWC_perc,date,spp,id,temp,water,day
PIEN56,7.5,2025-08-14,PIEN,56,heatwave,drought,24
PIEN1,16,2025-08-19,PIEN,1,ambient,water,29
PIEN4,6.7,2025-08-19,PIEN,4,ambient,drought,29
PIEN9,14.2,2025-08-19,PIEN,9,ambient,water,29
PIEN14,7.7,2025-08-19,PIEN,14,ambient,drought,29
PIEN18,14.1,2025-08-19,PIEN,18,ambient,water,29
PIEN21,4.3,2025-08-19,PIEN,21,ambient,drought,29
PIEN24,16.5,2025-08-19,PIEN,24,ambient,water,29
PIEN26,2.9,2025-08-19,PIEN,26,ambient,drought,29
PIEN27,13.3,2025-08-19,PIEN,27,ambient,water,29
PIEN28,0,2025-08-19,PIEN,28,ambient,drought,29
PIEN31,11.6,2025-08-19,PIEN,31,heatwave,water,29
PIEN33,1.1,2025-08-19,PIEN,33,heatwave,drought,29
PIEN34,11.3,2025-08-19,PIEN,34,heatwave,water,29
PIEN35,0.3,2025-08-19,PIEN,35,heatwave,drought,29
PIEN38,8.4,2025-08-19,PIEN,38,heatwave,water,29
PIEN40,0,2025-08-19,PIEN,40,heatwave,drought,29
PIEN42,10.1,2025-08-19,PIEN,42,heatwave,water,29
PIEN45,0,2025-08-19,PIEN,45,heatwave,drought,29
PIEN46,15.4,2025-08-19,PIEN,46,heatwave,water,29
PIEN56,2.6,2025-08-19,PIEN,56,heatwave,drought,29
PIEN1,15,2025-09-05,PIEN,1,ambient,water,46
PIEN4,3.2,2025-09-05,PIEN,4,ambient,drought,46
PIEN9,17.3,2025-09-05,PIEN,9,ambient,water,46
PIEN14,2.4,2025-09-05,PIEN,14,ambient,drought,46
PIEN18,13.2,2025-09-05,PIEN,18,ambient,water,46
PIEN21,2,2025-09-05,PIEN,21,ambient,drought,46
PIEN24,17.9,2025-09-05,PIEN,24,ambient,water,46
PIEN26,0,2025-09-05,PIEN,26,ambient,drought,46
PIEN27,14.8,2025-09-05,PIEN,27,ambient,water,46
PIEN28,0,2025-09-05,PIEN,28,ambient,drought,46
PIEN31,14.3,2025-09-05,PIEN,31,heatwave,water,46
PIEN33,0.6,2025-09-05,PIEN,33,heatwave,drought,46
PIEN34,14.9,2025-09-05,PIEN,34,heatwave,water,46
PIEN35,0,2025-09-05,PIEN,35,heatwave,drought,46
PIEN38,14.1,2025-09-05,PIEN,38,heatwave,water,46
PIEN40,0,2025-09-05,PIEN,40,heatwave,drought,46
PIEN42,16.8,2025-09-05,PIEN,42,heatwave,water,46
PIEN45,0,2025-09-05,PIEN,45,heatwave,drought,46
PIEN46,16.5,2025-09-05,PIEN,46,heatwave,water,46
PIEN56,0.4,2025-09-05,PIEN,56,heatwave,drought,46
PIEN1,14.6,2025-09-19,PIEN,1,ambient,water,60
PIEN4,0,2025-09-19,PIEN,4,ambient,drought,60
PIEN9,15.8,2025-09-19,PIEN,9,ambient,water,60
PIEN14,4.2,2025-09-19,PIEN,14,ambient,drought,60
PIEN18,13.9,2025-09-19,PIEN,18,ambient,water,60
PIEN21,0,2025-09-19,PIEN,21,ambient,drought,60
PIEN24,18.1,2025-09-19,PIEN,24,ambient,water,60
PIEN26,0,2025-09-19,PIEN,26,ambient,drought,60
PIEN27,16.7,2025-09-19,PIEN,27,ambient,water,60
PIEN28,0,2025-09-19,PIEN,28,ambient,drought,60
PIEN31,13.9,2025-09-19,PIEN,31,heatwave,water,60
PIEN33,0,2025-09-19,PIEN,33,heatwave,drought,60
PIEN34,15.7,2025-09-19,PIEN,34,heatwave,water,60
PIEN35,0,2025-09-19,PIEN,35,heatwave,drought,60
PIEN38,14.8,2025-09-19,PIEN,38,heatwave,water,60
