TreeID,Conductance_mmol_m2s
PIEN1,460.4
PIEN4,242.4
PIEN9,332.5
PIEN14,230.7
PIEN18,213.5
PIEN21,319
PIEN24,346
PIEN26,322.4
PIEN27,294.1
PIEN28,203.7
PIEN31,241.8
PIEN33,157.3
PIEN34,334.4
PIEN35,301.6
PIEN38,243
PIEN40,310.5
PIEN42,222.2
PIEN45,280
PIEN46,255.3
PIEN56,319.4
