TreeID,Conductance_mmol_m2s
PIPO1,362
PIPO2,159.6
PIPO5,234.7
PIPO10,234.7
PIPO11,266.5
PIPO16,390.6
PIPO18,143.3
PIPO19,144.5
PIPO20,144.6
PIPO22,157.3
PIPO31,196.7
PIPO32,262.6
PIPO35,200.5
PIPO48,243.4
PIPO51,243.9
PIPO52,267.4
PIPO53,185.5
PIPO55,148.7
PIPO56,136.6
PIPO58,128.6
