TreeID,Conductance_mmol_m2s
PIFL1,325.3
PIFL3,324.6
PIFL9,100.5
PIFL10,158.5
PIFL12,225
PIFL17,288.7
PIFL21,254.7
PIFL27,285.8
PIFL28,256.8
PIFL29,269.8
PIFL36,284.8
PIFL40,210.2
PIFL41,258.1
PIFL43,245.1
PIFL46,345
PIFL47,300.2
PIFL52,269.6
PIFL54,215.8
PIFL55,287.1
PIFL57,277.4
