TreeID,Conductance_mmol_m2s
PSME3,267.9
PSME6,128.1
PSME12,166.4
PSME15,207
PSME17,159.4
PSME20,169.9
PSME22,128.1
PSME26,120.9
PSME27,191
PSME30,237
PSME31,260.8
PSME35,206.5
PSME37,232.9
PSME42,116.2
PSME45,146.3
PSME46,113.3
PSME48,237
PSME50,97.6
PSME57,104.5
PSME58,88.2
