PRISM Time Series Data,,,
Location:  Lat: 36.0873   Lon: -105.4364   Elev: 2800m,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 800m,,,
Period: 1980-06 - 2024-06,,,
Dataset: AN91m,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Jun-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C)
1980-06,8.2,16.6,25.1
1981-06,8.6,16.1,23.6
1982-06,5.5,13,20.6
1983-06,5.3,12.4,19.4
1984-06,7.1,13.9,20.8
1985-06,7.2,14.2,21.2
1986-06,7.5,13.3,19.1
1987-06,5.9,12.8,19.8
1988-06,7.5,13.7,20
1989-06,6.1,12.8,19.5
1990-06,6.8,15.2,23.5
1991-06,6.2,13.2,20.2
1992-06,4.6,12,19.4
1993-06,5.5,13.1,20.7
1994-06,8.8,16.4,24
1995-06,6.2,12.9,19.6
1996-06,8.3,15.6,22.9
1997-06,6.5,13.4,20.2
1998-06,7.5,14.6,21.7
1999-06,6.5,13.4,20.4
2000-06,7.5,14.9,22.3
2001-06,7.5,15.3,23.1
2002-06,7.9,16.3,24.7
2003-06,6.3,13.7,21.1
2004-06,6.5,14.7,22.4
2005-06,6.7,14,21.4
2006-06,8.4,16,23.5
2007-06,6.3,14,21.8
2008-06,7.5,15.3,23.1
2009-06,6.6,13.1,19.5
2010-06,8.5,16.2,23.9
2011-06,9.1,16.7,24.3
2012-06,9.8,17.7,25.6
2013-06,9.2,16.8,24.5
2014-06,8.3,15.3,22.4
2015-06,8.7,15.3,22
2016-06,9.2,16.6,24
2017-06,8.9,16.4,23.9
2018-06,10.1,17.7,25.2
2019-06,6.8,13.9,21.1
2020-06,8.8,16.2,23.6
2021-06,8.3,15.5,22.6
2022-06,8.5,15.4,22.3
2023-06,6.6,13.3,20
2024-06,9.3,16.5,23.7
