PRISM Time Series Data,,,
Location:  Lat: 36.1471   Lon: -105.7391   Elev: 2361m,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 800m,,,
Period: 1980-06 - 2024-06,,,
Dataset: AN91m,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Jun-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees C),tmean (degrees C),tmax (degrees C)
1980-06,8.8,18,27.3
1981-06,9.5,18.2,26.9
1982-06,7.6,15.8,23.9
1983-06,7,14.9,22.8
1984-06,8.1,16,23.9
1985-06,8.6,16.7,24.8
1986-06,8.6,15.9,23.1
1987-06,8.3,16.6,24.9
1988-06,8.9,16.6,24.4
1989-06,7.7,15.5,23.4
1990-06,9.3,18,26.7
1991-06,8,15.8,23.6
1992-06,7.1,15,22.9
1993-06,7.4,15.9,24.4
1994-06,10.1,18.6,27.1
1995-06,7.1,15,22.9
1996-06,9.8,18.1,26.4
1997-06,7.9,15.9,23.9
1998-06,6.9,16,25.1
1999-06,7.1,15.4,23.7
2000-06,9.2,17.6,25.9
2001-06,8.8,17.7,26.6
2002-06,8,18.1,28.1
2003-06,7.7,16.1,24.5
2004-06,8.8,17.4,25.9
2005-06,8.3,16.5,24.8
2006-06,10.7,18.7,26.8
2007-06,8.8,17,25.1
2008-06,9.1,17.7,26.2
2009-06,6.7,14.6,22.5
2010-06,10.1,18.7,27.3
2011-06,10.3,18.9,27.5
2012-06,11.1,20,28.8
2013-06,10.7,19.3,28
2014-06,10.1,18.2,26.2
2015-06,10.7,18.2,25.7
2016-06,11.1,19.3,27.5
2017-06,10.7,19.1,27.5
2018-06,11.9,20.2,28.5
2019-06,8.5,16.5,24.5
2020-06,10.1,18.6,27
2021-06,8.8,17.5,26.1
2022-06,9.2,17.3,25.4
2023-06,8.2,15.9,23.6
2024-06,11.7,19.4,27.1
